Population,Type,City,State/Province,Country,Latitude,Longitude,IP Address,Average Ping Time (ms),Location 
8553,Rural,Ouled-Rachid,Batha,Chad,15,19,154.73.165.109,355.501,"Ouled-Rachid, Batha, Chad"
8381,Rural,Ango,Bas-Uele,DR Congo,4,26,41.243.8.106,296.235,"Ango, Bas-Uele, DR Congo"
1594000,International,Accra,Greater Accra Region,Ghana,5.5502,-0.2174,41.210.12.177,172.256,"Accra, Greater Accra Region, Ghana"
163886,International,Kolokani,Koulikoro,Mali,13.5784,-8.0336,41.221.186.250,146.335,"Kolokani, Koulikoro, Mali"
2572000,International,Luanda,Luanda Province,Angola,-8.8385,13.2353,41.72.20.165,237.696,"Luanda, Luanda Province, Angola"
79700,Rural,Entebbe,Wakiso District,Uganda,0.0644,32.4469,154.72.212.38,231.544,"Entebbe, Wakiso District, Uganda"
2960,Rural,Dubreuil,Moka,Mauritius,-20.2833,57.55,196.12.132.11,222.415,"Dubreuil, Moka, Mauritius"
137461,International,Chongwe,Lusaka,Zambia,-15,30,41.77.0.216,276.337,"Chongwe, Lusaka, Zambia"
50000,Rural,Tevragh Zeina,Nouakchott Ouest,Mauritania,18.1049,-15.9854,82.151.69.146,146.063,"Tevragh Zeina, Nouakchott Ouest, Mauritania"
1056000,International,Freetown,Western Area,Sierra Leone,8.49,-13.2342,160.19.155.51,177.463,"Freetown, Western Area, Sierra Leone"
703940,International,Libreville,Estuaire,Gabon,0.381,9.4487,217.77.71.1,217.567,"Libreville, Estuaire, Gabon"
8991,Rural,Saeffle,Värmland County,Sweden,59.1323,12.9289,83.233.135.188,120.044,"Saeffle, Värmland County, Sweden"
5581,Rural,Røros,Trøndelag,Norway,62.5686,11.4354,213.138.160.20,116.622,"Røros, Trøndelag, Norway"
631695,International,Helsinki,,Finland,60.1717,24.9349,94.237.80.211,77.392,"Helsinki, Finland"
10623,Rural,Raheen,Co Kerry,Ireland,52.0509,-9.2459,62.40.32.33,96.05,"Raheen, Co Kerry, Ireland"
303047,International,Cluj-Napoca,Cluj,Romania,46.7667,23.6,188.26.115.161,119.027,"Cluj-Napoca, Cluj, Romania"
